add-c,12,1000,24000,3288002,137,0
add-m,12,10000,240000,52044107,216,0
add-s,12,10000,240000,90292635,376,0
add-c,12,10000,240000,30359624,126,0
add-m,12,10000,240000,51810625,215,0
add-s,12,10000,240000,82135237,342,0
add-c,12,10000,240000,30534725,127,0
add-yield-m,1,1,2,103828,51914,0
add-yield-s,1,1,2,63918,31959,0
add-yield-c,1,1,2,65059,32529,0
add-yield-m,1,10,20,74708,3735,0
add-yield-s,1,10,20,69970,3498,0
add-yield-c,1,10,20,63942,3197,0
add-yield-m,1,100,200,141142,705,0
add-yield-s,1,100,200,133947,669,0
add-yield-c,1,100,200,107372,536,0
add-yield-m,1,1000,2000,575336,287,0
add-yield-s,1,1000,2000,631653,315,0
add-yield-c,1,1000,2000,95469,47,0
add-yield-m,1,10000,20000,4988966,249,0
add-yield-s,1,10000,20000,4770356,238,0
add-yield-c,1,10000,20000,414301,20,0
add-yield-m,1,10000,20000,5083045,254,0
add-yield-s,1,10000,20000,4738622,236,0
add-yield-c,1,10000,20000,452389,22,0
add-yield-m,2,1,4,73583,18395,0
add-yield-s,2,1,4,98152,24538,0
add-yield-c,2,1,4,97064,24266,0
add-yield-m,2,10,40,103630,2590,0
add-yield-s,2,10,40,121027,3025,0
add-yield-c,2,10,40,71213,1780,0
add-yield-m,2,100,400,192207,480,0
add-yield-s,2,100,400,227881,569,0
add-yield-c,2,100,400,103493,258,0
add-yield-m,2,1000,4000,1960657,490,0
add-yield-s,2,1000,4000,1530152,382,0
add-yield-c,2,1000,4000,329216,82,0
add-yield-m,2,10000,40000,16795592,419,0
add-yield-s,2,10000,40000,13199413,329,0
add-yield-c,2,10000,40000,2229190,55,0
add-yield-m,2,10000,40000,17587124,439,0
add-yield-s,2,10000,40000,12508036,312,0
add-yield-c,2,10000,40000,2271345,56,0
add-yield-m,4,1,8,110119,13764,0
add-yield-s,4,1,8,152940,19117,0
add-yield-c,4,1,8,117215,14651,0
add-yield-m,4,10,80,127057,1588,0
add-yield-s,4,10,80,140995,1762,0
add-yield-c,4,10,80,134787,1684,0
add-yield-m,4,100,800,717743,897,0
add-yield-s,4,100,800,368128,460,0
add-yield-c,4,100,800,92349,115,0
add-yield-m,4,1000,8000,5997688,749,0
add-yield-s,4,1000,8000,4068416,508,0
add-yield-c,4,1000,8000,713579,89,0
add-yield-m,4,10000,80000,53105833,663,0
add-yield-s,4,10000,80000,35351395,441,0
add-yield-c,4,10000,80000,7038335,87,0
add-yield-m,4,10000,80000,62222535,777,0
add-yield-s,4,10000,80000,36585610,457,0
add-yield-c,4,10000,80000,7228074,90,0
add-yield-m,8,1,16,194161,12135,0
add-yield-s,8,1,16,250999,15687,0
add-yield-c,8,1,16,197651,12353,0
add-yield-m,8,10,160,222510,1390,0
add-yield-s,8,10,160,205266,1282,0
add-yield-c,8,10,160,245011,1531,0
add-yield-m,8,100,1600,1621006,1013,0
add-yield-s,8,100,1600,917987,573,0
add-yield-c,8,100,1600,234412,146,0
add-yield-m,8,1000,16000,16782860,1048,0
add-yield-s,8,1000,16000,8543534,533,0
add-yield-c,8,1000,16000,1753816,109,0
add-yield-m,8,10000,160000,151518352,946,0
add-yield-s,8,10000,160000,85977526,537,0
add-yield-c,8,10000,160000,17209334,107,0
add-yield-m,8,10000,160000,155870306,974,0
add-yield-s,8,10000,160000,105046161,656,0
add-yield-c,8,10000,160000,19823592,123,0
add-yield-m,12,1,24,380512,15854,0
add-yield-s,12,1,24,327275,13636,0
add-yield-c,12,1,24,1554585,64774,0
add-yield-m,12,10,240,395050,1646,0
add-yield-s,12,10,240,315271,1313,0
add-yield-c,12,10,240,350314,1459,0
add-yield-m,12,100,2400,2440103,1016,0
add-yield-s,12,100,2400,1873797,780,0
add-yield-c,12,100,2400,299516,124,0
add-yield-m,12,1000,24000,24311063,1012,0
add-yield-s,12,1000,24000,16530586,688,0
add-yield-c,12,1000,24000,3029185,126,0
add-yield-m,12,10000,240000,242719041,1011,0
add-yield-s,12,10000,240000,180953427,753,0
add-yield-c,12,10000,240000,29608077,123,0
add-yield-m,12,10000,240000,229293050,955,0
add-yield-s,12,10000,240000,187061541,779,0
add-yield-c,12,10000,240000,31505547,131,0
